CNPJ;RAZAO SOCIAL;GRUPO EMPRESA;GRUPO LOBE;TIPO;REGIME TRIBUTARIO;REGIME APURACAO;CERTIFICADO DIGITAL;Validade Certificados;CONTRATO SOCIAL;UF;MUNICIPIO;E-MAIL FISCAL ;E-MAIL CONTABIL;E-MAIL FINANCEIRO;CNPJ;;RESPONSAVEL DP;;GRUPO;LIDER - GRUPO;QUANTIDADE
07.640.617/0002-00;DISTRIBUIDORA BRASIL COML DE PROD. MED. HOSP. - FILIAL DF;GRUPO DIST. BRASIL;LB 03;ComErcio;LUCRO REAL;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F07640617000200%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;10/02/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F07640617000200%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;DF;BRASILIA;;;financeiro.aux@distbrasil.net;7,64062E+12;7,64062E+12;HUGO GONZAGA;;;;
07.640.617/0001-10;DISTRIBUIDORA BRASIL COML DE PROD. MED. HOSP. - MATRIZ;GRUPO DIST. BRASIL;LB 03;ComErcio;LUCRO REAL;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F07640617000110%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;10/02/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F07640617000110%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;SENADOR CANEDO;;;financeiro.aux@distbrasil.net;7,64062E+12;7,64062E+12;HUGO GONZAGA;;;;
27.718.661/0001-03;ARMAZEM DOS MEDICAMENTOS;GRUPO DIST. BRASIL;LB 03;ComErcio;LUCRO PRESUMIDO;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F27718661000103%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;01/12/2022;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F27718661000103%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;SENADOR CANEDO;;;financeiro.aux@distbrasil.net;2,77187E+13;2,77187E+13;HUGO GONZAGA;;;;
46.288.493/0001-08;BRASIL PATRIMONIAL LTDA;GRUPO DIST. BRASIL;LB 03;Empresa de ParticipaCAo;LUCRO PRESUMIDO;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F46288493000108%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F46288493000108%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;SENADOR CANEDO;;;financeiro.aux@distbrasil.net;4,62885E+13;4,62885E+13;SEM FOLHA;;;;
05.437.468/0001-61;FILGUEIRA E SANTANA LTDA;GRUPO DIST. BRASIL;LB 07;ComErcio;SIMPLES NACIONAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F05437468000161%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;31/01/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F05437468000161%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;APARECIDA DE GOIÂNIA;;;daniseela@hotmail.com;5,43747E+12;5,43747E+12;STEPHANNE PEREIRA;;;;
40.951.414/0001-10;NF FARMACEUTICA E LOGISTICA EIRELI;GRUPO DIST. BRASIL;LB 07;ComErcio/ServiCo;SIMPLES NACIONAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F40951414000110%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;02/10/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F40951414000110%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;SENADOR CANEDO;;;daniseela@hotmail.com;4,09514E+13;4,09514E+13;STEPHANNE PEREIRA;;;;
14.115.388/0002-61;ELLO DISTRIBUICAO LTDA - FILIAL DF;GRUPO ELLO;LB 03;ComErcio/ServiCo;LUCRO REAL;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F14115388000261%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;30/03/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F14115388000261%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;DF;BRASILIA;;;financeiro@ellodistribuicao.com.br;1,41154E+13;1,41154E+13;WILLIAN MACHADO;;;;
14.115.388/0003-42;ELLO DISTRIBUICAO LTDA - MEDICAMENTOS ESPECIAIS;GRUPO ELLO;LB 03;ComErcio/ServiCo;LUCRO REAL;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F14115388000342%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;30/03/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F14115388000342%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;DF;BRASILIA;;;financeiro@ellodistribuicao.com.br;1,41154E+13;1,41154E+13;WILLIAN MACHADO;;;;
14.115.388/0001-80;ELLO DISTRIBUICAO LTDA - MATRIZ;GRUPO ELLO;LB 03;ComErcio/ServiCo;LUCRO REAL;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F14115388000180%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;30/03/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F14115388000180%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;;;financeiro@ellodistribuicao.com.br;1,41154E+13;1,41154E+13;WILLIAN MACHADO;;;;
38.006.034/0001-66;WJSP PARTICIPACOES LTDA;GRUPO ELLO;LB 03;Empresa de ParticipaCAo;LUCRO PRESUMIDO;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F38006034000166%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;31/03/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F38006034000166%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;;;financeiro@ellodistribuicao.com.br;3,8006E+13;3,8006E+13;WILLIAN MACHADO;;;;
38.214.055/0001-77;VPP PARTICIPACOES LTDA;GRUPO ELLO;LB 03;Empresa de ParticipaCAo;LUCRO PRESUMIDO;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F38214055000177%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;31/03/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F38214055000177%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;;;financeiro@ellodistribuicao.com.br;3,82141E+13;3,82141E+13;WILLIAN MACHADO;;;;
38.284.657/0001-09;VPP PATRIMONIAL LTDA;GRUPO ELLO;LB 03;Empresa de ParticipaCAo;LUCRO PRESUMIDO;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F38284657000109%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;31/03/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F38284657000109%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;;;financeiro@ellodistribuicao.com.br;3,82847E+13;3,82847E+13;WILLIAN MACHADO;;;;
38.310.139/0001-04;WP PARTICIPACOES LTDA;GRUPO ELLO;LB 03;Empresa de ParticipaCAo;LUCRO PRESUMIDO;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F38310139000104%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;31/03/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F38310139000104%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;;;financeiro@ellodistribuicao.com.br;3,83101E+13;3,83101E+13;WILLIAN MACHADO;;;;
42.527.000/0001-94;ELLO TRANSPORTES LTDA;GRUPO ELLO;LB 03;Transporte De Cargas;LUCRO PRESUMIDO;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F42527000000194%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;16/09/2022;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F42527000000194%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;;;financeiro@ellodistribuicao.com.br;4,2527E+13;4,2527E+13;WILLIAN MACHADO;;;;
37.202.788/0001-29;DELIVERY SAUDE;GRUPO ELLO;LB 07;Prestador de ServiCo;SIMPLES NACIONAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F37202788000129%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;07/11/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F37202788000129%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;;;financeiro@ellodistribuicao.com.br;3,72028E+13;3,72028E+13;WILLIAN MACHADO;;;;
14.115.388/0004-23;ELLO DISTRIBUICAO LTDA - FILIAL SP;GRUPO ELLO;LB 03;ComErcio;LUCRO REAL;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F14115388000423%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;30/03/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F14115388000423%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;SP;SAO PAULO;;;financeiro@ellodistribuicao.com.br;1,41154E+13;1,41154E+13;WILLIAN MACHADO;;;;
14.144.890/0001-10;ENGRE & CORS ENGRENAGENS E CORRENTES- 10;GRUPO ENGRE & CORS;LB 04;ComErcio/ServiCo;LUCRO REAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F14144890000110%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;11/02/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F14144890000110%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;APARECIDA DE GOIÂNIA;compras@engreecors.com.br;;financeiro@engreecors.com.br;1,41449E+13;1,41449E+13;WILLIAN MACHADO;;;;
14.144.890/0002-09;ENGRE & CORS ENGRENAGENS E CORRENTES- 09;GRUPO ENGRE & CORS;LB 04;ComErcio/ServiCo;LUCRO REAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F14144890000209%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;11/02/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F14144890000209%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;TO;PALMAS;compras@engreecors.com.br;;financeiro@engreecors.com.br;1,41449E+13;1,41449E+13;WILLIAN MACHADO;;;;
33.220.933/0001-43;EXITO MEDICAMENTOS EIRELI;GRUPO EXITO;LB 04;ComErcio/ServiCo;LUCRO PRESUMIDO;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F33220933000143%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;16/11/2022;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F33220933000143%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;adm1@exitomedicamentos.com.br;;;3,32209E+13;3,32209E+13;WILLIAN MACHADO;;;;
05.263.312/0009-69;EXPRESSO TRANSPORTE TURISMO LTDA - 69;GRUPO EXPRESSO;LB 02;Transporte de Passageiros;LUCRO REAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F05263312000969%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;15/01/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F05263312000969%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;BA;PAULO AFONSO;;;"alayse@realexpresso.com.br; jeane.financeiro@expressotransporte.com.br";5,26331E+12;5,26331E+12;FOLHA INTERNA;;;;
05.263.312/0008-88;EXPRESSO TRANSPORTE TURISMO LTDA - 88;GRUPO EXPRESSO;LB 02;Transporte de Passageiros;LUCRO REAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F05263312000888%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;15/01/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F05263312000888%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;DF;BRASILIA;;;"alayse@realexpresso.com.br; jeane.financeiro@expressotransporte.com.br";5,26331E+12;5,26331E+12;FOLHA INTERNA;;;;
05.263.312/0001-01;EXPRESSO TRANSPORTE TURISMO LTDA - 01;GRUPO EXPRESSO;LB 02;Transporte de Passageiros;LUCRO REAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F05263312000101%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;15/01/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F05263312000101%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;;;"alayse@realexpresso.com.br; jeane.financeiro@expressotransporte.com.br";5,26331E+12;5,26331E+12;FOLHA INTERNA;;;;
05.263.312/0011-83;EXPRESSO TRANSPORTE TURISMO LTDA - 83;GRUPO EXPRESSO;LB 02;Transporte de Passageiros;LUCRO REAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F05263312001183%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;15/01/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F05263312001183%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;MA;CAROLINA;;;"alayse@realexpresso.com.br; jeane.financeiro@expressotransporte.com.br";5,26331E+12;5,26331E+12;FOLHA INTERNA;;;;
05.263.312/0004-54;EXPRESSO TRANSPORTE TURISMO LTDA - 54;GRUPO EXPRESSO;LB 02;Transporte de Passageiros;LUCRO REAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F05263312000454%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;15/01/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F05263312000454%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;MG;UBERABA;;;"alayse@realexpresso.com.br; jeane.financeiro@expressotransporte.com.br";5,26331E+12;5,26331E+12;FOLHA INTERNA;;;;
05.263.312/0006-16;EXPRESSO TRANSPORTE TURISMO LTDA - 16;GRUPO EXPRESSO;LB 02;Transporte de Passageiros;LUCRO REAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F05263312000616%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;15/01/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F05263312000616%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;MT;BARRA DO GARCAS;;;"alayse@realexpresso.com.br; jeane.financeiro@expressotransporte.com.br";5,26331E+12;5,26331E+12;FOLHA INTERNA;;;;
05.263.312/0012-64;EXPRESSO TRANSPORTE TURISMO LTDA - 64;GRUPO EXPRESSO;LB 02;Transporte de Passageiros;LUCRO REAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F05263312001264%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;15/01/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F05263312001264%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;MT;CUIABA;;;"alayse@realexpresso.com.br; jeane.financeiro@expressotransporte.com.br";5,26331E+12;5,26331E+12;FOLHA INTERNA;;;;
05.263.312/0007-05;EXPRESSO TRANSPORTE TURISMO LTDA - 05;GRUPO EXPRESSO;LB 02;Transporte de Passageiros;LUCRO REAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F05263312000705%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;15/01/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F05263312000705%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;PA;PARAUPEBAS;;;"alayse@realexpresso.com.br; jeane.financeiro@expressotransporte.com.br";5,26331E+12;5,26331E+12;FOLHA INTERNA;;;;
05.263.312/0010-00;EXPRESSO TRANSPORTE TURISMO LTDA - 00;GRUPO EXPRESSO;LB 02;Transporte de Passageiros;LUCRO REAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F05263312001000%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;15/01/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F05263312001000%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;PI;FLORIANO;;;"alayse@realexpresso.com.br; jeane.financeiro@expressotransporte.com.br";5,26331E+12;5,26331E+12;FOLHA INTERNA;;;;
